onset	duration	condition	trial_action	stimulus_trial	pleasantness_response	intensity_response	stimulus_type
26.294	6.532	Water1_TasteAndSwallow	TasteAndSwallow	1	5	1	Water
43.874	9.281	Water1_RatingScreens	Rating	1	5	1	Water
53.155	18.763	Water1_RinseProcedure	Rinse	1	5	1	Water
340.195	6.532	Pos1_TasteAndSwallow	TasteAndSwallow	7	7	6	Pleasant_flavor
357.774	8.015	Pos1_RatingScreens	Rating	7	7	6	Pleasant_flavor
365.789	18.763	Pos1_RinseProcedure	Rinse	7	7	6	Pleasant_flavor
386.568	6.532	Pos2_TasteAndSwallow	TasteAndSwallow	8	7	5	Pleasant_flavor
404.148	8.248	Pos2_RatingScreens	Rating	8	7	5	Pleasant_flavor
412.396	18.763	Pos2_RinseProcedure	Rinse	8	7	5	Pleasant_flavor
433.175	6.531	Pos3_TasteAndSwallow	TasteAndSwallow	9	7	3	Pleasant_flavor
450.755	7.798	Pos3_RatingScreens	Rating	9	7	3	Pleasant_flavor
458.553	18.779	Pos3_RinseProcedure	Rinse	9	7	3	Pleasant_flavor
479.348	6.533	Pos4_TasteAndSwallow	TasteAndSwallow	10	8	7	Pleasant_flavor
496.928	9.898	Pos4_RatingScreens	Rating	10	8	7	Pleasant_flavor
506.826	25.011	Pos4_RinseProcedure	Rinse	10	8	7	Pleasant_flavor
293.388	6.532	Water2_TasteAndSwallow	TasteAndSwallow	6	5	1	Water
310.967	8.432	Water2_RatingScreens	Rating	6	5	1	Water
319.399	18.779	Water2_RinseProcedure	Rinse	6	5	1	Water
73.934	6.532	Neg1_TasteAndSwallow	TasteAndSwallow	2	2	8	Unpleasant_flavor
91.514	8.015	Neg1_RatingScreens	Rating	2	2	8	Unpleasant_flavor
99.529	18.779	Neg1_RinseProcedure	Rinse	2	2	8	Unpleasant_flavor
120.324	6.532	Neg2_TasteAndSwallow	TasteAndSwallow	3	3	7	Unpleasant_flavor
137.904	7.482	Neg2_RatingScreens	Rating	3	3	7	Unpleasant_flavor
145.386	18.779	Neg2_RinseProcedure	Rinse	3	3	7	Unpleasant_flavor
166.181	6.532	Neg3_TasteAndSwallow	TasteAndSwallow	4	1	8	Unpleasant_flavor
183.761	9.998	Neg3_RatingScreens	Rating	4	1	8	Unpleasant_flavor
193.759	18.763	Neg3_RinseProcedure	Rinse	4	1	8	Unpleasant_flavor
214.538	6.532	Neg4_TasteAndSwallow	TasteAndSwallow	5	2	8	Unpleasant_flavor
232.117	10.698	Neg4_RatingScreens	Rating	5	2	8	Unpleasant_flavor
242.815	25.012	Neg4_RinseProcedure	Rinse	5	2	8	Unpleasant_flavor
